order_id,customer_id,order_date,product_name,product_category,quantity,price,payment_method,channel,country
1,1474,2023-01-01,Asus ZenBook,Laptop,1,999.0,Cash,Offline,USA
2,3090,2023-01-01,HDMI Cable,Accessory,2,14.0,Online,Offline,China
3,3204,2023-01-01,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Cash,Offline,China
4,1817,2023-01-01,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Card,Offline,France
5,1620,2023-01-01,Apple AirPods Pro,Accessory,1,249.0,Cash,Offline,France
6,1620,2023-01-01,Screen Protector,Accessory,1,35.0,Cash,Offline,France
7,1620,2023-01-01,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,France
8,1620,2023-01-01,iPhone 13,Phone,1,799.0,Cash,Offline,France
9,4748,2023-01-01,Screen Protector,Accessory,1,35.0,Online,Offline,China
10,4748,2023-01-01,USB-C Charger,Accessory,1,29.0,Online,Offline,China
11,4748,2023-01-01,Google Pixel 7,Phone,1,699.0,Online,Offline,China
12,1742,2023-01-01,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Card,Online,China
13,846,2023-01-01,Screen Protector,Accessory,3,35.0,Card,Online,Spain
14,4167,2023-01-01,iPhone 15,Phone,1,1199.0,Card,Online,China
15,4167,2023-01-01,Screen Protector,Accessory,1,35.0,Card,Online,China
16,4167,2023-01-01,Apple AirPods Pro,Accessory,1,249.0,Card,Online,China
17,2732,2023-01-01,MacBook Pro 16,Laptop,1,1999.0,Card,Online,Russia
18,3823,2023-01-01,Samsung Galaxy S23,Phone,1,949.0,Cash,Online,South Korea
19,3823,2023-01-01,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,South Korea
20,3823,2023-01-01,Screen Protector,Accessory,1,35.0,Cash,Online,South Korea
21,809,2023-01-01,Samsung Travel Adapter,Accessory,1,29.0,Card,Online,UK
22,4005,2023-01-01,USB-C Charger,Accessory,2,29.0,Cash,Offline,China
23,533,2023-01-01,Samsung Galaxy S21,Phone,1,749.0,Online,Online,China
24,533,2023-01-01,Samsung Travel Adapter,Accessory,1,29.0,Online,Online,China
25,2207,2023-01-01,Lenovo ThinkPad X1,Laptop,1,1399.0,Cash,Online,USA
26,3650,2023-01-01,Asus ZenBook,Laptop,1,999.0,Cash,Online,China
27,1586,2023-01-01,Dell XPS 15,Laptop,1,1499.0,Cash,Online,China
28,2338,2023-01-01,Sony WH-1000XM4,Accessory,1,349.0,Card,Offline,USA
29,1817,2023-01-01,iPhone 15,Phone,1,1199.0,Card,Offline,France
30,2392,2023-01-01,Mechanical Keyboard,Accessory,2,149.0,Online,Online,China
31,42,2023-01-01,Xiaomi Mi 11,Phone,1,499.0,Card,Offline,France
32,4268,2023-01-01,Google Pixel 7,Phone,1,699.0,Online,Offline,Russia
33,2456,2023-01-01,Logitech MX Master Mouse,Accessory,1,99.0,Card,Offline,China
34,4268,2023-01-01,Screen Protector,Accessory,1,35.0,Online,Offline,Russia
35,4268,2023-01-01,USB-C Charger,Accessory,1,29.0,Online,Offline,Russia
36,2404,2023-01-01,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Cash,Offline,China
37,1059,2023-01-02,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,China
38,2089,2023-01-02,Apple Mouse,Accessory,1,89.0,Cash,Online,Spain
39,483,2023-01-02,Samsung Galaxy Tab S8,Tablet,1,799.0,Online,Online,France
40,655,2023-01-02,Xiaomi Redmi Note 12,Phone,1,349.0,Cash,Online,USA
41,76,2023-01-02,Screen Protector,Accessory,1,35.0,Card,Offline,China
42,76,2023-01-02,iPhone 15,Phone,1,1199.0,Card,Offline,China
43,2268,2023-01-02,Dell XPS 13,Laptop,1,1199.0,Online,Online,China
44,1944,2023-01-02,HP Spectre x360,Laptop,1,1299.0,Card,Online,China
45,4366,2023-01-02,Logitech MX Master Mouse,Accessory,2,99.0,Card,Online,USA
46,1833,2023-01-02,Mechanical Keyboard,Accessory,1,149.0,Cash,Online,UK
47,1428,2023-01-02,Apple 20W USB-C Power Adapter,Accessory,2,19.0,Cash,Offline,USA
48,1624,2023-01-02,USB-C Charger,Accessory,1,29.0,Cash,Online,USA
49,3462,2023-01-02,Xiaomi Redmi Note 12,Phone,1,349.0,Online,Offline,Germany
50,3462,2023-01-02,Screen Protector,Accessory,1,35.0,Online,Offline,Germany
51,3406,2023-01-02,Sony WH-1000XM4,Accessory,1,349.0,Online,Online,China
52,3346,2023-01-02,iPad Pro 12.9,Tablet,2,1099.0,Card,Offline,Germany
53,3121,2023-01-02,Screen Protector,Accessory,1,35.0,Card,Offline,Russia
54,3121,2023-01-02,Xiaomi Mi 11,Phone,1,499.0,Card,Offline,Russia
55,1919,2023-01-02,Apple Mouse,Accessory,2,89.0,Online,Online,China
56,4493,2023-01-02,Xiaomi Redmi Note 12,Phone,1,349.0,Cash,Offline,Germany
